Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
evomoore,Moana 2, Wicked, Beetlejuice Beetlejuice, Sonic the Hedgehog 3, Kraven the Hunter, Venom: The Last Dance, Red One, Nightbitch,1545.0,1020.0
Avater A Pandoran Saga Chapter 3,Anora, The Brutalist, Wicked, Saturday Night, The Room Next Door, Venom: The Last Dance, Nosferatu, Smile 2,1794.0,189.0
Rogue Algorithm,Wicked, Moana 2, Nickel Boys, Venom: The Last Dance, Saturday Night, Brothers, The Order, Juror #2,1619.0,663.0
last years winner,Moana 2, Wicked, The Brutalist, The Life of Chuck, Conclave, Will & Harper, The Seed of the Sacred Fig, Lee,1828.0,132.0
Aussie Nate,The Wild Robot, Moana 2, Sonic the Hedgehog 3, Venom: The Last Dance, Saturday Night, Smile 2, Brothers, Wicked,1562.0,920.0
CineMonstera,Moana 2, Wicked, Challengers, The Substance, His Three Daughters, Civil War, Emilia Perez, The Life of Chuck,1806.0,170.0
Eric Knopp,Wicked, The Apprentice, Emilia Perez, Moana 2, Heretic, Juror #2, The Substance, Better Man,1812.0,162.0
Silencenoisemachine,The Brutalist, Red One, Moana 2, Universal Language, Joker: Folie a Deux, Wicked, Christmas Eve in Miller's Point, Y2K,1671.0,496.0
nslerner,The Substance, Emilia Perez, A Different Man, His Three Daughters, Wicked, Megalopolis, Anora, A Real Pain,1959.0,36.0
Corvo,Venom: The Last Dance, Moana 2, Saturday Night, Wicked, A Complete Unknown, Juror #2, Piece by Piece, Here,1590.0,787.0
Navin Johnson,Anora, A Real Pain, Heretic, The Brutalist, Wicked, Conclave, Your Monster, Y2K,1993.0,24.0
Navin R Johnson,Anora, A Real Pain, Heretic, The Brutalist, Wicked, Conclave, Your Monster, Y2K,1993.0,24.0
Anduman,The Brutalist, Anora, Conclave, Flow, The Piano Lesson, Wicked, I Saw the TV Glow, Universal Language,1948.0,40.0
mikeshutt,Anora, Conclave, Wicked, The Brutalist, Juror #2, All We Imagine As Light, Challengers, Memoir of a Snail,1968.0,30.0
tesscd,The Brutalist, A Real Pain, Anora, The Apprentice, Wicked, Challengers, Babygirl, Better Man,1893.0,78.0
Colleen331,Wicked, Joker: Folie a Deux, Moana 2, Venom: The Last Dance," ""The Lord of the Rings: The War of the Rohirrim
""", Twisters, Will & Harper, His Three Daughters,1538.0,1066.0
Yeah x10x10,Anora, Emilia Perez, The Substance, Thelma, Wicked, A Real Pain, Will & Harper, Smile 2,1937.0,46.0
Jaclei,Wicked, Anora, Emilia Perez, We Live in Time, Venom: The Last Dance, The Promised Land, A Real Pain, Omni Loop,1807.0,167.0
Glenn,His Three Daughters, Venom: The Last Dance, Juror #2, Moana 2, Joker: Folie a Deux, Deadpool & Wolverine, Wicked, Megalopolis,1538.0,1066.0
RMuir17,Wicked, The Room Next Door, Moana 2, Nosferatu, A Real Pain, Will & Harper, The Brutalist, I'm Still Here,1772.0,235.0
WhosYourCatty,Moana 2, The Black Box Diaries, Wicked, Alien: Romulus, Longlegs, Sing Sing, I Saw the TV Glow, The Substance,1731.0,314.0
Yezzir,Kinds of Kindness, Challengers, Venom: The Last Dance, Wicked, Anora, Joker: Folie a Deux, The Bikeriders, Red One,1655.0,541.0
Clever Girl,Sonic the Hedgehog 3, Conclave, Wicked, Venom: The Last Dance, Red One, The Wild Robot, A Real Pain, Challengers,1735.0,308.0
Enmore Perez,Wicked, A Real Pain, The Outrun, The Room Next Door, All We Imagine As Light, Anora, A Complete Unknown, The Brutalist,1905.0,71.0
TheWaffleCop,Moana 2, Flow, Wicked, The Brutalist, A Real Pain, Saturday Night, Kingdom of the Planet of the Apes, Bird,1766.0,243.0
WikiMan,Moana 2, Wicked, Sonic the Hedgehog 3, Inside Out 2, Venom: The Last Dance, Megalopolis, Will & Harper, Red One,1540.0,1049.0
Ana Marie Dah Zombie,Moana 2, Conclave, Wicked, Challengers, Civil War, I Saw the TV Glow, We Live in Time, Memoir of a Snail,1730.0,315.0
Pez Dispensary,Wicked, Moana 2, The Brutalist, The Room Next Door, Will & Harper, Red One, September 5, Piece by Piece,1710.0,358.0
jtes,Anora, Conclave, Wicked, Challengers, The Brutalist, The Substance, Civil War, The Beast,2038.0,12.0
Boffo,Wicked, Moana 2, The Wild Robot, Sonic the Hedgehog 3, Venom: The Last Dance, Smile 2," ""The Lord of the Rings: The War of the Rohirrim
""", Wallace & Gromit: Vengeance Most Fowl,1548.0,1005.0
enfinity,Moana 2, Inside Out 2, Wicked, Venom: The Last Dance, Nosferatu, Smile 2, Nightbitch, Emmanuelle,1553.0,975.0
Daphne Sugar Kane,Anora, Conclave, Wicked, A Real Pain, Saturday Night, The Apprentice, Babygirl, All We Imagine As Light,1892.0,79.0
Henry Cohen,Moana 2, Wicked, Nosferatu, Here, Piece by Piece, The Brutalist, September 5, Red One,1717.0,340.0
Nosferatu loves Radiohead,Anora, Wicked, Sonic the Hedgehog 3, Smile 2, Venom: The Last Dance, We Live in Time, A Real Pain, The Piano Lesson,1690.0,433.0
Ryanhunter353,Moana 2, Joker: Folie a Deux, Wicked, The Apprentice, Venom: The Last Dance, Deadpool & Wolverine," ""The Lord of the Rings: The War of the Rohirrim
""", The End,1532.0,1098.0
lizlemon82,Moana 2, Wicked, Queer, Venom: The Last Dance, Will & Harper, The Life of Chuck, A Complete Unknown, Small Things Like These,1596.0,760.0
Indian Jones,Moana 2, Wicked, Inside Out 2, The Outrun, Venom: The Last Dance, Nosferatu, The Substance, Speak No Evil,1656.0,538.0
Saturday Night Lights,Moana 2, Super/Man: The Christopher Reeve Story, Anora," ""The Lord of the Rings: The War of the Rohirrim
""", The Fire Inside, Wicked, Heretic, Saturday Night,1725.0,326.0
ericlany,Moana 2, The Brutalist, Wicked, Heretic, Red One, Here, Sonic the Hedgehog 3, Juror #2,1690.0,433.0
LDigital,Joker: Folie a Deux, Moana 2, Venom: The Last Dance," ""The Lord of the Rings: The War of the Rohirrim
""", Wicked, Megalopolis, Deadpool & Wolverine, Heretic,1545.0,1020.0
Haylayharper,Moana 2, Challengers, Beetlejuice Beetlejuice, Wicked, Trap, The Wild Robot, Lisa Frankenstein, Venom: The Last Dance,1580.0,818.0
Mostly Nitpicking will watch Garfield,Venom: The Last Dance, Moana 2, Wicked, Challengers, Sonic the Hedgehog 3, Furiosa: A Mad Max Saga, Madame Web, The Piano Lesson,1565.0,904.0
Alex Lambert,The Outrun, The Order, A Real Pain, Smile 2, Anora, Wicked, The Brutalist, A Complete Unknown,1873.0,88.0
jjuliano,Venom: The Last Dance, The Wild Robot, Moana 2, Sonic the Hedgehog 3, Wicked, Smile 2, The Life of Chuck, Nosferatu,1558.0,948.0
Uncle Muncle,Moana 2, Anora, Wicked, The Room Next Door, His Three Daughters, Juror #2, Love Lies Bleeding, Piece by Piece,1698.0,399.0
Save the Last Babygirl,Venom: The Last Dance, Wicked, Conclave, Here, Heretic, Babygirl, Anora, Kneecap,1791.0,195.0
cwnnor,Wicked, Elton John: Never Too Late, Piece by Piece, Anora, Moana 2, The Fire Inside, Here, Heretic,1707.0,368.0
The Chosen One,Moana 2, Mufasa: The Lion King, Wicked," ""The Lord of the Rings: The War of the Rohirrim
""", Smile 2, Kraven the Hunter, Venom: The Last Dance, The Apprentice,1547.0,1010.0
Nan of the Dead,The Life of Chuck, Megalopolis, Moana 2, Emilia Perez, Wicked, Red One, Nosferatu, I Saw the TV Glow,1686.0,445.0
Rynsey,Moana 2, Joker: Folie a Deux, Wicked, Venom: The Last Dance, Spellbound, Heretic, Nosferatu, Elton John: Never Too Late,1555.0,965.0
aJayinthelife,Babygirl, Sonic the Hedgehog 3, Heretic, Moana 2, Wicked, Venom: The Last Dance, Juror #2, Here,1549.0,999.0
joshmassey,Anora, The Brutalist, Conclave, The Apprentice, Y2K, Nosferatu, Wicked, Red One,1929.0,49.0
jsherlock,Moana 2, Challengers, Didi, The Substance, Will & Harper, Inside Out 2, Wicked, Smile 2,1694.0,415.0
Methen,Moana 2, Wicked, Challengers, Didi, Will & Harper, A Different Man, Smile 2, Queer,1624.0,642.0
Campbell,Babygirl, Nosferatu, Conclave, Juror #2, Moana 2, Wicked, Smile 2, The Best Christmas Pageant Ever,1703.0,383.0
RenIsATotalFox,Wicked, Moana 2, We Live in Time, Nightbitch, A Complete Unknown, Juror #2, Red One, Smile 2,1588.0,795.0
Cl729,Joker: Folie a Deux, Wicked, Elton John: Never Too Late, Didi, Piece by Piece," ""The Lord of the Rings: The War of the Rohirrim
""", Venom: The Last Dance, Moana 2,1522.0,1172.0
Odajam,Moana 2, Wicked, Heretic, Beetlejuice Beetlejuice, Venom: The Last Dance, Sonic the Hedgehog 3, Wallace & Gromit: Vengeance Most Fowl, Babygirl,1562.0,920.0
"KenTheProducer (Kennedy Hill, Keep It)",Moana 2, Wicked, A Complete Unknown, The Piano Lesson, His Three Daughters, Will & Harper, Babygirl, I Saw the TV Glow,1626.0,637.0
GlobularCrown,Moana 2, Emilia Perez, The Black Box Diaries, Wicked, Sonic the Hedgehog 3, My Dead Friend Zoe, Christmas Eve in Miller's Point, Venom: The Last Dance,1635.0,612.0
Day for Nightbitch,Anora, Wicked, The Brutalist, Babygirl, A Real Pain, Sonic the Hedgehog 3, The Substance, Thelma,1939.0,41.0
lwoods,Anora, The Substance, I Saw the TV Glow, Piece by Piece, Wicked, Problemista, Emilia Perez, A Real Pain,1928.0,50.0
Craighandy,Juror #2, Here, Moana 2, Wicked, The Brutalist, Challengers, The Seed of the Sacred Fig, His Three Daughters,1703.0,383.0
atinybaby,Anora, The Brutalist, Challengers, Wicked, Sonic the Hedgehog 3, Saturday Night, Venom: The Last Dance, Evil Does Not Exist,1781.0,217.0
RobCiavarella,Moana 2, Wicked, The Brutalist, A Complete Unknown, Sonic the Hedgehog 3, Smile 2, Small Things Like These, Y2K,1697.0,404.0
dalnerd,Moana 2, Mufasa: The Lion King, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, Smile 2, The Best Christmas Pageant Ever, Better Man,1542.0,1036.0
THATSMYJAM,Moana 2, Wicked, Saturday Night, Joker: Folie a Deux, The Best Christmas Pageant Ever, Brothers," ""The Lord of the Rings: The War of the Rohirrim
""", Venom: The Last Dance,1521.0,1179.0
bigpy,Moana 2, Joker: Folie a Deux, Wicked, Brothers, The Apprentice, Sonic the Hedgehog 3, Venom: The Last Dance, Elton John: Never Too Late,1512.0,1247.0
Nf22,Anora, Wicked, The Brutalist, Sonic the Hedgehog 3, Venom: The Last Dance, Nosferatu, Smile 2, Juror #2,1755.0,264.0
Glen Powell Enthusiast,Moana 2, Wicked, A Complete Unknown, Babes, Anora, Civil War, Lee, The Beast,1716.0,343.0
friendsholt,MaXXXine, Daughters, Will & Harper, The Substance, Challengers, Moana 2, Wicked, Sing Sing,1741.0,291.0
Youthie,Anora, Wicked, The Brutalist, Sonic the Hedgehog 3, Smile 2, Heretic, A Real Pain, September 5,1864.0,94.0
Harrison7894,Anora, A Complete Unknown, I Saw the TV Glow, Venom: The Last Dance, Wicked, Nightbitch, Sonic the Hedgehog 3, Heretic,1699.0,396.0
PaddingtonFan,Anora, Conclave, A Real Pain, Wallace & Gromit: Vengeance Most Fowl, His Three Daughters, Wicked, The Piano Lesson, I Saw the TV Glow,1859.0,98.0
Alien Robulus,Moana 2, Wicked, The Brutalist, A Complete Unknown, Sonic the Hedgehog 3, Smile 2, Small Things Like These, The Life of Chuck,1695.0,410.0
Willaf,Venom: The Last Dance, Wicked, The Seed of the Sacred Fig, Saturday Night, Anora, The Brutalist, The Apprentice, Nosferatu,1790.0,199.0
Good Luck Babez,Anora, Emilia Perez, Wicked, His Three Daughters, Challengers, Furiosa: A Mad Max Saga, The Substance, I Saw the TV Glow,1908.0,68.0
50 cents a hotdog,Wicked, Moana 2, Carry-On, Beetlejuice Beetlejuice, The Wild Robot, Heretic, Here, Venom: The Last Dance,1559.0,939.0
tl4f,Wicked, Nosferatu, Venom: The Last Dance, The Brutalist, Conclave, The Apprentice, A Real Pain, Sonic the Hedgehog 3,1819.0,147.0
Huntermodica,Moana 2, Wicked, The Wild Robot, Alien: Romulus, Transformers One, His Three Daughters, Anora, Ultraman: Rising,1684.0,449.0
Kados,Moana 2, Joker: Folie a Deux, Sonic the Hedgehog 3, Wicked, Venom: The Last Dance, Transformers One, The Last Showgirl, Deadpool & Wolverine,1518.0,1203.0
KMR,Moana 2, Wicked, His Three Daughters, Will & Harper, A Real Pain, Sing Sing, Martha, A Quiet Place - Day 1,1672.0,492.0
AiGib,The Life of Chuck, Moana 2, Joker: Folie a Deux, Wicked, Here, Red One, Six Triple Eight, A Real Pain,1577.0,830.0
Lukes Nana,Moana 2, Blitz, Venom: The Last Dance, Here, Red One," ""The Lord of the Rings: The War of the Rohirrim
""", Carry-On, Wicked,1507.0,1276.0
FTWOblivion,The Brutalist, A Complete Unknown, The Piano Lesson, Nightbitch, Wicked, A Real Pain, September 5, Venom: The Last Dance,1740.0,296.0
Hammy Armer,Wicked, A Complete Unknown, Kneecap, Moana 2, Sing Sing, I Saw the TV Glow, The Return, Christmas Eve in Miller's Point,1661.0,526.0
Mr Darcys Neighborhood,Moana 2, Wicked, A Complete Unknown, A Real Pain, We Live in Time, A Different Man, Juror #2," ""The Lord of the Rings: The War of the Rohirrim
""",1656.0,538.0
Paths of Orange,Anora, Wicked, A Complete Unknown, The Brutalist, A Real Pain, September 5, Super/Man: The Christopher Reeve Story, I'm Still Here,1899.0,75.0
sylvielovemovie,The Life of Chuck, Anora, Emilia Perez, Here, Wicked, Venom: The Last Dance, A Different Man, Janet Planet,1749.0,269.0
Iona,Babygirl, Saturday Night, Moana 2, Wicked, Anora, Better Man, Y2K, Alien: Romulus,1680.0,466.0
Jbishop1971,Wicked, Sonic the Hedgehog 3, Piece by Piece, Moana 2, Smile 2, Venom: The Last Dance, Maria, Kraven the Hunter,1507.0,1276.0
Swilsamundo,Sonic the Hedgehog 3, Moana 2, Smile 2, Anora, Wicked, Transformers One, Alien: Romulus," ""The Lord of the Rings: The War of the Rohirrim
""",1642.0,584.0
Ponyo Loves HAM,Sing Sing, Wicked, Alien: Romulus, Babygirl, Trap, Furiosa: A Mad Max Saga, I Saw the TV Glow, Moana 2,1611.0,704.0
Hannah OY,Wicked, The Wild Robot, Challengers, The Substance, Moana 2, Lee, Smile 2, Nosferatu,1696.0,407.0
Ashanti Johnson,Emilia Perez, The Brutalist, The Wild Robot, Venom: The Last Dance, Daughters, Wicked, A Real Pain, In the Summers,1790.0,199.0
Rsf8405,The Promised Land, Maria, Beetlejuice Beetlejuice, Wicked, Venom: The Last Dance, Challengers, A Quiet Place - Day 1, Moana 2,1545.0,1020.0
tateowens,Moana 2, Wicked, Sonic the Hedgehog 3, Venom: The Last Dance, Here, Nosferatu, Wallace & Gromit: Vengeance Most Fowl, Smile 2,1520.0,1188.0
RankingTheMouse,Moana 2, Mufasa: The Lion King, Wicked, Venom: The Last Dance, Deadpool & Wolverine, Kingdom of the Planet of the Apes, The Substance, Twisters,1640.0,591.0
KWScotland,Moana 2, Joker: Folie a Deux, Wicked, Venom: The Last Dance, Saturday Night, Six Triple Eight, Wallace & Gromit: Vengeance Most Fowl, Lee,1514.0,1234.0
Dovey,Moana 2, Wicked, Venom: The Last Dance, Saturday Night, The Apprentice, Nosferatu, Here, Nightbitch,1545.0,1020.0
PopcornLover92,Anora, Wicked, Moana 2, Challengers, The Room Next Door, The Bikeriders, Civil War, The Black Box Diaries,1699.0,396.0
Franco Hathaway LLC,Conclave, Wicked, The Brutalist, Anora, Red One, The Return, The Fire Inside, Juror #2,1888.0,82.0
Large Marge,Moana 2, Wicked, Nightbitch, Sonic the Hedgehog 3, The Piano Lesson, Venom: The Last Dance, Kingdom of the Planet of the Apes, The Apprentice,1524.0,1156.0
Bombs Over Bogdanovich,Anora, Sing Sing, I Saw the TV Glow, Wicked, Will & Harper, Janet Planet, Heretic, A Real Pain,1806.0,170.0
Itskevinblais,Anora, The Brutalist, Conclave, Nosferatu, Wicked, I Saw the TV Glow, Your Monster, Heretic,1935.0,48.0
Sunshine,Sing Sing, Moana 2, Didi, Wicked, Alien: Romulus, Kinds of Kindness, Deadpool & Wolverine, The Substance,1701.0,390.0
What in TARnation,Moana 2, Joker: Folie a Deux, Wicked, The Life of Chuck, Lee, Nightbitch, Venom: The Last Dance, Flight Risk,1495.0,1355.0
JacksSmirkingRevenge,Moana 2, Wicked, Here, The Life of Chuck, Joker: Folie a Deux, Venom: The Last Dance, Kinds of Kindness, Juror #2,1490.0,1401.0
Raebla,A Complete Unknown, Wicked, His Three Daughters, Speak No Evil, Saturday Night, Juror #2, Moana 2, The Brutalist,1710.0,358.0
Jaredshitkicker,Moana 2, Sonic the Hedgehog 3, Smile 2, Joker: Folie a Deux, Heretic, Red One, Wicked," ""The Lord of the Rings: The War of the Rohirrim
""",1529.0,1113.0
His Three Guesses,Moana 2, Wicked, Nosferatu, The Wild Robot, His Three Daughters, Speak No Evil, Venom: The Last Dance, We Live in Time,1549.0,999.0
Kenny,Moana 2, Wicked, Sonic the Hedgehog 3, Heretic, Smile 2, Red One, Joker: Folie a Deux, Kraven the Hunter,1529.0,1113.0
MistakenTexan,Moana 2, Joker: Folie a Deux, Wicked, Sonic the Hedgehog 3, Kraven the Hunter, The Life of Chuck, The Last Showgirl, Venom: The Last Dance,1498.0,1333.0
Bonesaw is Ready,Sonic the Hedgehog 3, Moana 2, Juror #2, Nosferatu, Wallace & Gromit: Vengeance Most Fowl, Wicked, Venom: The Last Dance, Smile 2,1518.0,1203.0
Day O the Dead,Gladiator II, Wicked, Nightbitch, Venom: The Last Dance, Smile 2, Red One, Saturday Night, The Best Christmas Pageant Ever,1550.0,992.0
Meganopolis,Wicked, Joker: Folie a Deux, Saturday Night, Challengers, Moana 2, Super/Man: The Christopher Reeve Story, The Substance, The Last Showgirl,1668.0,509.0
Stabilize Every Day,The Brutalist, Nickel Boys, The Last Showgirl, Wicked, Moana 2, Nosferatu, Small Things Like These, Christmas Eve in Miller's Point,1742.0,288.0
nerdyduckling,Heretic, Piece by Piece," ""The Lord of the Rings: The War of the Rohirrim
""", The Wild Robot, Wicked, Moana 2, Nosferatu, Venom: The Last Dance,1561.0,924.0
Andrew Jupin (We Hate Movies),Moana 2, A Real Pain, We Live in Time, Wicked, Smile 2, Oh Canada, Joker: Folie a Deux, Piece by Piece,1566.0,894.0
Swagpaneer,Smile 2, Venom: The Last Dance, We Live in Time, Mufasa: The Lion King, Moana 2, Wicked, Nutcrackers, Piece by Piece,1516.0,1216.0
Iloveborderlands,Moana 2, Mufasa: The Lion King, Venom: The Last Dance, Wicked, We Live in Time, Smile 2, Piece by Piece, Back in Action ,1516.0,1216.0
Luge Lessons,Anora, A Real Pain, Wicked, The Brutalist, Hard Truths, Janet Planet, Between the Temples, Babygirl,1851.0,107.0
Jorell Doesnt Socialize,Super/Man: The Christopher Reeve Story, Wicked, Sonic the Hedgehog 3, The Last Showgirl, Venom: The Last Dance, Queer, Moana 2, Nightbitch,1530.0,1105.0
Dylan Miller,Wicked, Moana 2," ""The Lord of the Rings: The War of the Rohirrim
""", Y2K, Smile 2, Sonic the Hedgehog 3, Anora, Nutcrackers,1644.0,574.0
Shae,Moana 2, Wicked, Here, Joker: Folie a Deux, Venom: The Last Dance, Woman of the Hour, We Live in Time, Brothers,1484.0,1463.0
BrutalTruths,The Brutalist, Nickel Boys, Hard Truths, Anora, I Saw the TV Glow, The Life of Chuck, Janet Planet, Wicked,1858.0,101.0
Film Draft Jolie a Deux,Moana 2, Anora, Joker: Folie a Deux, Venom: The Last Dance, Red One, Smile 2, I'm Still Here, Sugarcane,1434.0,1929.0
Dillon Wexler,Moana 2, Wicked, Sonic the Hedgehog 3, Nosferatu, Venom: The Last Dance, Saturday Night, Babygirl, Love Lies Bleeding,1539.0,1057.0
AllieL,Moana 2, Anora, Wicked, Nosferatu, We Live in Time, Heretic, Piece by Piece, Christmas Eve in Miller's Point,1699.0,396.0
Frankenstein,Moana 2, Nightbitch, Nosferatu, Transformers One, Joker: Folie a Deux, Wicked, Red One, The Substance,1634.0,618.0
A Complete Unknown Nosferatu,Sing Sing, Challengers, Venom: The Last Dance, A Complete Unknown, Smile 2, Furiosa: A Mad Max Saga, Babygirl, Wicked,1617.0,672.0
swolegazelle,Gladiator II, Wicked, Moana 2, Red One, Brothers, My Dead Friend Zoe, Christmas Eve in Miller's Point, The Black Box Diaries,1591.0,779.0
cornelia,Moana 2, Conclave, Wicked, Babygirl, We Live in Time, Civil War, Super/Man: The Christopher Reeve Story, Smile 2,1653.0,546.0
Snyder Bot,Moana 2, Wicked, Super/Man: The Christopher Reeve Story, Gladiator II, I Am Celine Dion, The Life of Chuck, Sugarcane, All We Imagine As Light,1606.0,722.0
Prax,Sonic the Hedgehog 3, Venom: The Last Dance, Saturday Night," ""The Lord of the Rings: The War of the Rohirrim
""", Moana 2, Wicked, Smile 2, Nosferatu,1517.0,1209.0
Rave on the Tennis Court,Gladiator II, Wicked, The Brutalist, Saturday Night, The Seed of the Sacred Fig, The Substance, I Saw the TV Glow, All We Imagine As Light,1829.0,130.0
OnTheWayHome,Wicked, Moana 2, Sonic the Hedgehog 3, Kraven the Hunter, Venom: The Last Dance, Nosferatu, Smile 2, Saturday Night,1517.0,1209.0
Movies To Watch Before You Die,Wicked, Sonic the Hedgehog 3, Moana 2, Venom: The Last Dance, Smile 2, Kraven the Hunter, Nosferatu, Saturday Night,1517.0,1209.0
